HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
HardlyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	" The answer is correct.
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
EasilyReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
StandardReadableText	""" The answer is """"The cat sat on the mat"""".""
"
